tau,agent,estimate
0.0533669923120631,A3,0.34356668368564436
0.0533669923120631,A3,0.3437712183112293
0.0533669923120631,A3,0.34359343319217805
0.0533669923120631,A3,0.34411831717168073
0.0533669923120631,A3,0.34442123245652956
0.0533669923120631,A3,0.34410321925124426
0.0533669923120631,A3,0.344210650040393
0.0533669923120631,A3,0.34440062448905484
0.0533669923120631,A3,0.34355588208203686
0.0533669923120631,A3,0.3437710153793769
0.0533669923120631,A3,0.34408869838879635
0.0533669923120631,A3,0.3439325661157635
0.0533669923120631,A3,0.3438232545491425
0.0533669923120631,A3,0.34352511683030723
0.0533669923120631,A3,0.3438792726996469
0.0533669923120631,A3,0.3438581496683804
0.0533669923120631,A3,0.3437813164485108
0.0533669923120631,A3,0.3435978825911585
0.0533669923120631,A3,0.3437031074674345
0.0533669923120631,A3,0.3440657524277128
0.0533669923120631,A3,0.34398299207816774
0.0533669923120631,A3,0.3438245610677402
0.0533669923120631,A3,0.34393731742470796
0.0533669923120631,A3,0.3444398491303822
0.0533669923120631,A3,0.34386152736207093
0.0533669923120631,A3,0.3439722780461531
0.0533669923120631,A3,0.34385455280674887
0.0533669923120631,A3,0.34359746879729663
0.0533669923120631,A3,0.34362089423756165
0.0533669923120631,A3,0.3442650308155355
0.0533669923120631,A3,0.3440668752344364
0.0533669923120631,A3,0.34327386370869745
0.0533669923120631,A3,0.34394555168617436
0.0533669923120631,A4,0.3066061061011315
0.0533669923120631,A4,0.3065301626001173
0.0533669923120631,A4,0.30682531135182384
0.0533669923120631,A4,0.3082653568478362
0.0533669923120631,A4,0.3064002584876632
0.0533669923120631,A4,0.3062808003426153
0.0533669923120631,A4,0.3068229800002474
0.0533669923120631,A4,0.3069709111159407
0.0533669923120631,A4,0.3066564965815715
0.0533669923120631,A4,0.3070878006063546
0.0533669923120631,A4,0.30654989274525685
0.0533669923120631,A4,0.30661510997695135
0.0533669923120631,A4,0.30674957425944205
0.0533669923120631,A4,0.30672838489894744
0.0533669923120631,A4,0.3060954684914684
0.0533669923120631,A4,0.30692383134194184
0.0533669923120631,A4,0.3067406241405717
0.0533669923120631,A4,0.3065261989441015
0.0533669923120631,A4,0.3069161776290465
0.0533669923120631,A4,0.30681069133929784
0.0533669923120631,A4,0.3074767349593583
0.0533669923120631,A4,0.3068092423410674
