tau,agent,estimate
0.0533669923120631,A1,1.0612916068615157
0.0533669923120631,A1,1.0681357168455439
0.0533669923120631,A1,1.0580183368691547
0.0533669923120631,A1,1.065755156851099
0.0533669923120631,A1,1.0666478668490158
0.0533669923120631,A1,1.0428422669045725
0.0533669923120631,A1,1.0627794568580438
0.0533669923120631,A1,1.0499839468879053
0.0533669923120631,A1,1.0535547868795716
0.0533669923120631,A1,1.0648624468531827
0.0533669923120631,A1,1.0555915669416913
0.0533669923120631,A1,1.047305816894155
0.0533669923120631,A1,1.0704722324040497
0.0533669923120631,A1,1.0595407511079675
0.0533669923120631,A2,0.8051445403092565
0.0533669923120631,A2,0.792351101446494
0.0533669923120631,A2,0.7986420387915438
0.0533669923120631,A2,0.7991931403231453
0.0533669923120631,A2,0.81084240876307
0.0533669923120631,A2,0.791963383405795
0.0533669923120631,A2,0.8099496987651533
0.0533669923120631,A2,0.8010225987859882
0.0533669923120631,A2,0.7989396087908496
0.0533669923120631,A2,0.8107983702960612
0.0533669923120631,A2,0.7944760588012666
0.0533669923120631,A2,0.8135205387568202
0.0533669923120631,A2,0.7915003588082109
0.0533669923120631,A2,0.8016159285008295
0.0533669923120631,A2,0.8042098629517066
0.0533669923120631,A2,0.8102472687644586
0.0533669923120631,A2,0.7965590487964049
0.0533669923120631,A2,0.8054861487755707
0.0533669923120631,A2,0.8036147229530957
0.0533669923120631,A2,0.8102472687644591
0.0533669923120631,A2,0.802170911423577
0.0533669923120631,A2,0.797407720327313
0.0533669923120631,A2,0.8055283769588104
0.0533669923120631,A2,0.7977073614339938
0.0533669923120631,A2,0.8028080187818211
0.0533669923120631,A2,0.8087594187679314
0.0533669923120631,A2,0.8016177387845982
0.0533669923120631,A2,0.7947295903335626
0.0533669923120631,A2,0.8048490414173265
0.0533669923120631,A2,0.7971541887950158
0.0533669923120631,A2,0.7962614787970995
0.0533669923120631,A2,0.8200670787415413
0.0533669923120631,A2,0.8001298887880716
0.0533669923120631,A2,0.8128813602912001
0.0533669923120631,A2,0.8093545587665425
0.0533669923120631,A2,0.7980468987929326
0.0533669923120631,A2,0.8072275303043941
0.0533669923120631,A2,0.8156035287519587
0.0533669923120631,A2,0.792137726990061
0.0533669923120631,A2,0.8030175118471079
0.0533669923120631,A3,0.34379596588108974
0.0533669923120631,A3,0.3443591970605319
0.0533669923120631,A3,0.34378987839930125
0.0533669923120631,A3,0.3425946448352559
0.0533669923120631,A3,0.34440263509266594
0.0533669923120631,A3,0.3440771425751916
